Response number,Speaker,Content
1,RENNIE,We were there.
2,RENNIE,"We didn't see Vietnamese soldiers. What we saw were population centers. Schoolhouses, pagodas, women and children."
3,RENNIE,And that's American napalm. The women and children were burned alive. Tom?
4,TOM,The Democratic Party is going to nominate Hubert Humphrey next month in Chicago.
5,TOM,"When it comes to the war, when it comes to social justice, there's simply not enough of a difference between Hubert Humphrey and Richard Nixon to make a difference."
6,TOM,And so we're going to Chicago.
7,TOM,Young people by busloads will go to Chicago to show our solidarity and our disgust and most importantly--
8,ABBIE,--to get laid by someone you just met.
9,JERRY,"536,000 of us sent to a country not one of these bumper sticker patriots in Washington could find on a map with a motherfuckin' map!"
10,ABBIE,"We're going to Chicago. Anyone who stays in the park, sings Woody Guthrie, they're gonna be fine. But the cops are gonna be a half-inch from losin' their fuckin' minds 'cause Daley's gonna wind 'em up to make sure of it. We're goin' to Chicago peacefully. We're going peacefully, but if we're met there with violence, you better believe we're gonna meet that violence with- - 5."
11,BOBBY,Fuck the motherfuckers up.
12,BOBBY,"They leave us alone and everything's cool. They tangle, disrupt, intimidate, they play it fast and loose with the First Amendment--"
13,BOBBY,"--they start breaking heads, then no, we will not be on our way. 7."
14,BOBBY,Fred Hampton wants me there.
15,BOBBY,Between Hayden and Hoffman there could be five-thousand people. It'd be nice to talk to five-thousand people.
16,BOBBY,"Yes while I'm in trouble in--I'm the head of the Black Panthers, Sondra, when the hell am I not gonna be in trouble?!"
17,BOBBY,"""If they attack you"", you're taking it out of context."
18,BOBBY,There's no place to be right now but in it.
19,BOBBY,"""IF THEY--"
20,BOBBY,"--is dead! He has a dream? Well now he has a fuckin' bullet in his head. Martin's dead. Malcolm's dead. Medgar's dead. Bobby's dead. Jesus is dead. They tried it peaceful. We're gonna try something else. (pause) Sondra, I'll be there for four hours, that's it."
21,BOBBY,If I knew how to use that I wouldn't need to make speeches.
22,JERRY,It's named after the Russian Commissar Vyacheslav Mikhailovich Molotov. You start with a glass bottle.
23,JERRY,"You pack the styrofoam, and now your cherry bomb..."
24,JERRY,Some chewing gum around the top.
25,JERRY,And a fuse.
26,TOM,(calling) Is that Jerry? 10.
27,RENNIE,Yeah.
28,TOM,Tell him to tell Abbie that we're going to Chicago to end the war and not to fuck around.
29,RENNIE,(into phone) Tom says to tell Abbie that we're going to Chicago to end the war and not to fuck around.
30,JERRY,Hayden says we're going to Chicago to end the war and not to fuck around.
31,ABBIE,Tell Hayden I went to Brandeis and I can do both.
32,ABBIE,"People say, you know, Abbie, are you concerned about an overreaction from the cops?"
33,ABBIE,We're not concerned about it.
34,ABBIE,We're counting on it.
35,TOM,"We want to underscore again that we're coming to Chicago peacefully, but whether we're given permits or not, we're coming."
36,SCHULTZ,(pause) Pardon me?
37,SCHULTZ,Yes sir.
38,SCHULTZ,Pleased to meet you.
39,SCHULTZ,"No sir. Just to meet Mr. Foran at O'Hare this morning, that we were flying to Washington and that we were meeting Mr. Mitchell. 14."
40,SCHULTZ,"No, sir."
41,SCHULTZ,Sir?
42,SCHULTZ,Yes sir. 15.
43,SCHULTZ,"Well as a matter of fact, sir, we don't believe any federal laws were broken last summer. Mr. Foran had our office run a thorough investigation. Plenty of trespassing, destruction of public property, lewd behavior I suppose, but--"
44,SCHULTZ,...nothing rising to the level of--
45,SCHULTZ,"Sir, our office wasn't aware the Justice Department wanted to seek any indictments at all."
46,SCHULTZ,Ramsey Clark was dead set against bringing federal--
47,SCHULTZ,"Of course, sir."
48,SCHULTZ,"It was unprofessional, sir. 17."
49,SCHULTZ,Thank you.
50,SCHULTZ,That's the Rap Brown law.
51,SCHULTZ,"For whom, sir?"
52,SCHULTZ,"Abbie Hoffman, Jerry Rubin, Tom Hayden, Rennie Davis, Dave Dellinger, Lee Weiner, John Froines...and Bobby Seale?"
53,SCHULTZ,Sure. Yes sir.
54,SCHULTZ,You pay me for my opinion.
55,SCHULTZ,"I said, sir, you pay me for my opinion?"
56,SCHULTZ,I'm not sure we can get a good indictment on conspiracy.
57,SCHULTZ,"For one thing, some of these people had never met each other."
58,SCHULTZ,(beat) Yes sir.
59,SCHULTZ,"(quietly) On top of everything else, we're giving them exactly what they want-- a stage and an audience."
60,SCHULTZ,"Yes sir, I do."
61,ABBIE,You alright?
62,JERRY,I was until I saw this.
63,ABBIE,Most of them are on our side.
64,ABBIE,Jesus Christ. How did you do that?
65,JERRY,Experience.
66,ABBIE,"You don't know what to do with the egg now, do you."
67,JERRY,No.
68,KUNSTLER,"Hang on, quiet down please. I want you all to meet a new addition to the defense team, this is Leonard Weinglass, one of this country's most talented First Amendment litigators."
69,KUNSTLER,"(quieting the others) Go ahead, Sy."
70,KUNSTLER,Charles Garry is still in the hospital and you should contact his office for information. Marjorie.
71,KUNSTLER,"It's very important that it be understood that for his own protection, I am not acting as Bobby Seale's attorney today. One more. Jack."
72,KUNSTLER,Well-- 24.
73,WEINGLASS,"This is William Kunstler. You want to find out how serious he is, meet him at a witness stand."
74,KUNSTLER,"Thank you, ladies and gentlemen."
75,TOM,What is that? 25.
76,RENNIE,I've been keeping a list every day. Americans who've been killed since the day we were arrested.
77,TOM,Why?
78,RENNIE,With the trial starting it might get easy to forget who this is about.
79,KUNSTLER,Fellas.
80,RENNIE,Good morning.
81,WEINGLASS,Good morning.
82,TOM,Good morning.
83,KUNSTLER,"(quietly to TOM) I just got a question about my seriousness. Whatever's going on between you and Abbie, keep it out of this building."
84,TOM,I just feel like this is gearing up to be--
85,KUNSTLER,Fred. 26.
86,KUNSTLER,(quietly) Did you have breakfast this morning?
87,BOBBY,(pause) What?
88,KUNSTLER,Did you have breakfast?
89,BOBBY,I did.
90,KUNSTLER,What'd you have?
91,KUNSTLER,I'm talking to him about breakfast because that's the only thing I'm allowed to talk to him about.
92,KUNSTLER,Bobby--
93,KUNSTLER,"If you need me I'm sitting right there. You just look at me and say, ""I need you""."
94,BOBBY,You two gonna be like this? 27.
95,KUNSTLER,"(to BOBBY, re: the African- Americans in the gallery) They shouldn't sit together. The jury's not gonna like that look."
96,BOBBY,"This isn't my jury. And if they don't like the look, they can--"
97,KUNSTLER,And Fred?
98,BOBBY,"No, they're dressed just fine."
99,KUNSTLER,"Alright, good pep talk."
100,ABBIE,You see the crowd out there?
101,JERRY,I have an egg.
102,KUNSTLER,Get rid of that.
103,JERRY,You don't think I want to?
104,ABBIE,"It's like we're, you know, whatshisname, we just met him. 28."
105,JERRY,Yeah.
106,ABBIE,(beat) What is his name?
107,JERRY,Who?
108,ABBIE,The drummer. The greatest drummer ever.
109,JERRY,Gene Krupa?
110,ABBIE,"No, I'm talkin' about--Gene Krupa?-- I'm talkin' about the drummer for Cream, we just met him last night."
111,JERRY,Ginger Baker.
112,ABBIE,"Thank you. The crowd outside is so big it's as if we're Ginger Baker, is what I was trying to say."
113,KUNSTLER,Are you stoned?
114,ABBIE,Yeah. You?
115,KUNSTLER,(quietly) You remember what I said.
116,TOM,"Okay, and you remember to keep us out of prison."
117,KUNSTLER,A lot of good advice this morning.
118,JUDGE HOFFMAN,"Mr. Marshal, bring in our jury."
119,JUDGE HOFFMAN,"As I look out into the gallery I see we have a full house. Some of you started forming a line early this morning. I'll caution you that this isn't a sporting event. Let the record show that we've been joined by our twelve jurors and four alternates. Mrs. Winter, please call the case."
120,JUDGE HOFFMAN,Are the People ready to make opening arguments?
121,SCHULTZ,"(standing) We are, Your Honor."
122,BOBBY,I don't have my lawyer here.
123,JUDGE HOFFMAN,It's not your turn to speak.
124,BOBBY,My trial's begun without my lawyer.
125,JUDGE HOFFMAN,Please sit. Mr. Schultz?
126,SCHULTZ,"Good morning, my name is Richard Schultz and I'm an Assistant U.S. Attorney for the Southern District of Illinois. Seated at my table is my boss, U.S. Attorney Thomas Foran. I guess you could say I'm seated at his table. At the defense table are the eight defendants represented by their lawyers, William Kunstler and Leonard Weinglass. The defendants would tell you they represent three different groups. They would tell you that one group--"
127,JUDGE HOFFMAN,Excuse me.
128,SCHULTZ,Yes sir.
129,JUDGE HOFFMAN,"I'd like to clarify something for the jurors. There are two Hoffmans in this courtroom. The defendant, Abbie Hoffman, and myself, Judge Julius Hoffman."
130,SCHULTZ,"Thank you, sir."
131,JUDGE HOFFMAN,I didn't want there to be confusion on the matter. 31.
132,ABBIE,"Man, I don't think there's much chance they're going to mix us up."
133,JUDGE HOFFMAN,You will address this Court as Judge or Your Honor and you will not address this Court until--you will not address this Court.
134,SCHULTZ,The defendants would tell you they represent three different groups.
135,JUDGE HOFFMAN,And the record should reflect that defendant Hoffman and I aren't related.
136,ABBIE,Father no!
137,JUDGE HOFFMAN,"Mr. Hoffman, are you familiar with contempt of court?"
138,ABBIE,"It's practically a religion for me, sir."
139,SCHULTZ,(pause) Your Honor?
140,JUDGE HOFFMAN,Continue.
141,SCHULTZ,Rennie Davis and Tom Hayden are the leaders of the SDS--Students for a Democratic Society. Hayden and Davis brought their people to Chicago for the purpose of causing violence in the streets in order to disrupt the Democratic Convention. You know the Youth International Party as the Yippies. Their leaders are Abbie Hoffman and Jerry Rubin. (MORE) 32.
142,SCHULTZ,"Bobby Seale is the leader of the Black Panther Party. The defendants would tell you these are three distinct groups, but they're all--"
143,BOBBY,(standing) Excuse me.
144,JUDGE HOFFMAN,Yes?
145,BOBBY,May I speak?
146,JUDGE HOFFMAN,No sir.
147,BOBBY,He just said my name.
148,JUDGE HOFFMAN,"You're a defendant in this case, you're likely to hear your name."
149,BOBBY,I have a right to counsel and His Honor knows that.
150,JUDGE HOFFMAN,Don't tell the Court what it does and doesn't know. Be seated.
151,JUDGE HOFFMAN,Mr. Schultz.
152,SCHULTZ,"...the radical left, that's all. They're the radical left in different costumes. The eight defendants had a plan. A plan among two or more people is a conspiracy. The defendants crossed state lines to execute their plan, that's why we're in federal court. The plan was to incite a riot. And there's one thing you already know. They succeeded. 33."
153,KUNSTLER,"Sir, it's not a tactic. At the moment, the defendants are the only ones on record as knowing their own names."
154,JUDGE HOFFMAN,"Be seated, Mr. Schultz. (correcting himself) Mr. Kunstler."
155,BOBBY,(standing) I object to being characterized as a member of this group.
156,JUDGE HOFFMAN,Who is your lawyer?
157,BOBBY,Charles R. Garry.
158,JUDGE HOFFMAN,Is Mr. Garry here today?
159,BOBBY,No he's not.
160,KUNSTLER,Your Honor--
161,JUDGE HOFFMAN,Are you representing Mr. Seale?
162,KUNSTLER,No sir.
163,JUDGE HOFFMAN,"Then sit. Mr. Schultz, forgive me, have you concluded your opening statement?"
164,SCHULTZ,"Yes, Your Honor."
165,BOBBY,"My lawyer, Charles Garry, is in a hospital in Oakland having undergone gallbladder surgery. 35."
166,JUDGE HOFFMAN,"Mr. Kunstler, you're sitting right next to the man, just represent him. It's the same case."
167,KUNSTLER,The fact that there's a lawyer near Mr. Seale doesn't satisfy the requirements of due process.
168,BOBBY,I have a right--
169,KUNSTLER,(putting his hand up to BOBBY) A motion was made for postponement due to Mr. Garry's medical condition. I was there. Your Honor denied that motion and therefore Mr. Seale is here without legal representation.
170,JUDGE HOFFMAN,"I don't care for your general tone, Mr. Kunstler."
171,KUNSTLER,"I meant no disrespect to the Court, sir. I'm trying to be clear that I can't muddy Mr. Seale's grounds for appeal by appearing to speak as his lawyer."
172,JUDGE HOFFMAN,"I don't ask you to compromise Mr. Seale's position, sir, but I will not permit him to address the jury with his very competent lawyer seated--"
173,JERRY,"Jesus Christ, for the fourth time, he's not Bobby's lawyer!"
174,JUDGE HOFFMAN,You're Mr. Rubin?
175,JERRY,Yes sir. 36.
176,JUDGE HOFFMAN,Don't ever do that again.
177,BOBBY,"Your Honor, I'm not with these guys. I never even met most of them until--"
178,JUDGE HOFFMAN,We'll have order.
179,BOBBY,--the indictment.
180,JUDGE HOFFMAN,We will have order.
181,BOBBY,"There are eight of us and there are signs out there that say ""Free the Chicago 7""--I'm not with them."
182,JUDGE HOFFMAN,"Mr. Marshal, will you seat Mr. Seale?"
183,BOBBY,"You're saying it's a conspiracy. I never met most of them until the indictment. Speaking frankly, the U.S. Attorney wanted a Negro defendant to scare the jury. I was thrown in to make the group look scarier. I came to Chicago, I gave a speech, I had a chicken pot pie, went to the airport and flew back to Oakland and that's why they call the eight of us the Chicago-- (to the MARSHAL) --get your hands off me."
184,JUDGE HOFFMAN,Charge Mr. Seale with one count of Contempt of Court.
185,TOM,We have to make a decision right now--a decision I just assumed we'd already made four months ago when trial prep began. Are we using this trial to defend ourselves against very serious charges that could land us in prison for 10 years or are we using it to say a pointless fuck you to the establishment?
186,JERRY,Fuck you.
187,TOM,"That's what I was afraid--Wait, I don't know if you were saying ""fuck you"" or answering the question."
188,ABBIE,I was also confused.
