Begin,dissapear,Content,speaker
"00:00:59,734","00:01:03,067",I have today ordered to Vietnam the Airmobile Division,LYNDON JOHNSON
"00:01:03,817","00:01:07,192",and certain other forces which will raise our fighting strength,LYNDON JOHNSON
"00:01:13,734","00:01:17,442",This will make it necessary to increase our active fighting forces,LYNDON JOHNSON
"00:01:17,525","00:01:23,192","by raising the monthly draft call from 17,000 to 35,000.",LYNDON JOHNSON
"00:01:27,650","00:01:30,400",All those whose birthday falls on December 30th.,YOUNG MAN
"00:01:27,650","00:01:30,400",All those whose birthday falls on December 30th.,YOUNG MAN
"00:01:30,484","00:01:33,150",President Johnson announced new monthly�draft totals,REPORTER #1
"00:01:33,234","00:01:34,734","increasing to 35,000 per month.",REPORTER #3
"00:01:34,817","00:01:36,751","- 43,000 per month... - 51,000...",REPORTER #2
"00:01:36,775","00:01:42,067","382,386 men between the ages of 18 and 24 have been called to duty.",REPORTER #4
"00:01:45,067","00:01:50,234",that no one who has any concern for the integrity and life of America today,MARTIN LUTHER KING
"00:01:55,817","00:01:59,442","part of the autopsy must read, ""Vietnam.""",MARTIN LUTHER KING
"00:02:00,442","00:02:02,817","What we need in the United States is not hatred,",ROBERT KENNEDY
"00:02:02,900","00:02:05,442",but is love and wisdom.,ROBERT KENNEDY
"00:02:08,817","00:02:12,567",to say a prayer for the family of Martin Luther King.,ROBERT KENNEDY
"00:02:25,984","00:02:28,609",What we saw were population centers.,RENNIE
"00:02:28,692","00:02:30,942","Schoolhouses, pagodas, women and children.",RENNIE
"00:02:34,942","00:02:38,275",Women and children were burned alive. Tom?,RENNIE
"00:02:41,567","00:02:45,317",is gonna end up nominating Hubert Humphrey next month in Chicago.,TOM
"00:02:46,317","00:02:49,650","Now, when it comes to the war and social justice,",TOM
"00:02:52,484","00:02:54,900",between Humphrey and Nixon to make a difference.,TOM
"00:02:54,984","00:02:56,817","And so, we're going to Chicago.",TOM
"00:02:56,900","00:02:59,900","Young people, by busloads, will go to Chicago",TOM
"00:02:59,984","00:03:03,317",to show our solidarity and our disgust.,TOM
"00:03:03,400","00:03:04,900",But most importantly...,TOM
"00:03:04,984","00:03:07,775",To get laid by someone you just met.,ABBIE
"00:03:11,525","00:03:14,942",none of these bumper-sticker patriots in Washington could find on a map,JERRY
"00:03:19,942","00:03:23,400","Anyone who stays in the park, sings Woody Guthrie, they'll be fine.",ABBIE
"00:03:24,484","00:03:27,817","But the cops are gonna be a half-inch from losin' their fuckin' minds,",ABBIE
"00:03:30,900","00:03:33,775",We're goin' to Chicago peacefully. We're goin' peacefully.,ABBIE
"00:03:36,234","00:03:39,567",you better believe that we're gonna meet that violence with...,ABBIE
"00:03:39,650","00:03:43,067","Nonviolence. Always nonviolence, and that's without exception.",DAVE
"00:03:47,900","00:03:49,859","David, he watches the news.",MRS. DELLINGER
"00:03:51,317","00:03:55,109",This one will be no different in that it almost certainly won't work.,DAVE
"00:03:55,192","00:03:56,275",The police are--,TOM
"00:03:56,359","00:03:59,150",I'm not worried about them. I'm worried about Hoffman and Rubin.,MRS. DELLINGER
"00:03:59,234","00:04:01,567","It's the Democratic National Convention, honey.",DAVE
"00:04:01,650","00:04:04,067","Every camera in America is gonna be pointed at it,",DAVE
"00:04:04,150","00:04:07,359",and Daley is not gonna let his city turn into a theater of war.,DAVE
"00:04:07,442","00:04:10,109",Hoffman and Rubin are geniuses in their own special way.,DAVE
"00:04:10,192","00:04:12,400","- Oh, dear God. - He's got a Boy Scout meeting at 7:00.",DAVE
"00:04:13,317","00:04:14,775","Dad, if the police--",DAVE
"00:04:16,234","00:04:19,442","I'll do what I always do and what I taught you to do, which is what?",DAVE
"00:04:20,609","00:04:22,859",Very calmly and very politely...,SON
"00:04:22,942","00:04:26,317",Fuck the motherfuckers up! They leave us alone and everything's cool.,BOBBY
"00:04:26,400","00:04:27,859","They tangle, disrupt, intimidate,",BOBBY
"00:04:27,942","00:04:29,984","play fast and loose with the First Amendment,",BOBBY
"00:04:30,067","00:04:32,484","start breaking heads, then we will not be on our way.",BOBBY
