Response number,Speaker,Content
1,LYNDON JOHNSON,"I have today ordered to Vietnam the Air Mobile Division and certain other forces which will raise our fighting strength from 75,000 to 125,000 almost immediately. This will make it necessary to increase our active fighting forces by raising the monthly draft from 17,000 to 35,000 per month."
2,YOUNG MAN,June 3rd. All those whose birthday falls on June 3rd--
3,REPORTER #1,"President Johnson announced new monthly draft totals increasing to 35,000 per month--"
4,REPORTER #2,"43,000 per month--"
5,REPORTER #3,"51,000 per month--"
6,REPORTER #4,"382,386 men between the ages of 18 and 24 have now been called to duty. 2."
7,MARTIN LUTHER KING,It should be incandescently clear that no one who has any concern for the integrity of life in America today can ignore the present war--
8,MARTIN LUTHER KING,"If America's soul becomes poisoned, part of the autopsy must read ""Vietnam”,"
9,ROBERT KENNEDY,"What we need in the United States is not hatred, but love and wisdom. So I ask you to return home and say a prayer for the family of Martin Luther King."
10,YOUNG MAN,April 22nd. All those whose birthday falls on April 22nd--
11,RENNIE,We were there.
12,RENNIE,"We didn't see Vietnamese soldiers. What we saw were population centers. Schoolhouses, pagodas, women and children."
13,RENNIE,And that's American napalm. The women and children were burned alive. Tom?
14,TOM,The Democratic Party is going to nominate Hubert Humphrey next month in Chicago.
15,TOM,"When it comes to the war, when it comes to social justice, there's simply not enough of a difference between Hubert Humphrey and Richard Nixon to make a difference."
16,TOM,And so we're going to Chicago.
17,TOM,Young people by busloads will go to Chicago to show our solidarity and our disgust and most importantly--
18,ABBIE,--to get laid by someone you just met.
19,JERRY,"536,000 of us sent to a country not one of these bumper sticker patriots in Washington could find on a map with a motherfuckin' map!"
20,ABBIE,"We're going to Chicago. Anyone who stays in the park, sings Woody Guthrie, they're gonna be fine. But the cops are gonna be a half-inch from losin' their fuckin' minds 'cause Daley's gonna wind 'em up to make sure of it. We're goin' to Chicago peacefully. We're going peacefully, but if we're met there with violence, you better believe we're gonna meet that violence with- - 5."
21,DAVE,Non-violence. Always non-violence and that's without exception.
22,SON,What if the police start hitting you?
