Begin,Disapear,Text
"00:00:59,734","00:01:03,067
",I have today ordered to Vietnam the Airmobile Division
"00:01:03,817","00:01:07,192
",and certain other forces which will raise our fighting strength
"00:01:07,275","00:01:13,650
","from 75,000 to 125,000 men almost immediately."
"00:01:13,734","00:01:17,442
",This will make it necessary to increase our active fighting forces
"00:01:17,525","00:01:23,192
","by raising the monthly draft call from 17,000 to 35,000."
"00:01:24,984","00:01:27,567
",December 30th.
"00:01:27,650","00:01:30,400
",All those whose birthday falls on December 30th.
"00:01:30,484","00:01:33,150
",President Johnson announced new monthly draft totals
"00:01:33,234","00:01:34,734
","increasing to 35,000 per month."
"00:01:34,817","00:01:36,751
","- 43,000 per month... - 51,000..."
"00:01:36,775","00:01:42,067
","382,386 men between the ages of 18 and 24 have been called to duty."
"00:01:42,150","00:01:44,984
",Now it should be incandescently clear
"00:01:45,067","00:01:50,234
",that no one who has any concern for the integrity and life of America today
"00:01:50,317","00:01:52,525
",can ignore the present war.
"00:01:52,609","00:01:55,734
","If America's soul becomes totally poisoned,"
"00:01:55,817","00:01:59,442
","part of the autopsy must read, ""Vietnam."""
"00:02:00,442","00:02:02,817
","What we need in the United States is not hatred,"
"00:02:02,900","00:02:05,442
",but is love and wisdom.
"00:02:05,525","00:02:08,734
","So I ask you tonight to return home,"
"00:02:08,817","00:02:12,567
",to say a prayer for the family of Martin Luther King.
"00:02:17,067","00:02:18,650
",August 24th.
"00:02:18,734","00:02:20,414
",All those whose birthday falls...
"00:02:20,484","00:02:22,876
","Another 30,000 troops have been deployed to the region."
"00:02:22,900","00:02:25,900
","This, after the US saw its greatest increase in monthly casualties."
"00:02:25,984","00:02:28,609
",What we saw were population centers.
"00:02:28,692","00:02:30,942
","Schoolhouses, pagodas, women and children."
"00:02:32,275","00:02:34,859
",And that's American napalm.
"00:02:34,942","00:02:38,275
",Women and children were burned alive. Tom?
"00:02:39,734","00:02:41,484
",The Democratic Party
"00:02:41,567","00:02:45,317
",is gonna end up nominating Hubert Humphrey next month in Chicago.
"00:02:46,317","00:02:49,650
","Now, when it comes to the war and social justice,"
"00:02:50,317","00:02:52,400
",there is simply not enough of a difference
"00:02:52,484","00:02:54,900
",between Humphrey and Nixon to make a difference.
"00:02:54,984","00:02:56,817
","And so, we're going to Chicago."
"00:02:56,900","00:02:59,900
","Young people, by busloads, will go to Chicago"
"00:02:59,984","00:03:03,317
",to show our solidarity and our disgust.
"00:03:03,400","00:03:04,900
",But most importantly...
"00:03:04,984","00:03:07,775
",To get laid by someone you just met.
"00:03:07,859","00:03:11,442
","536,000 of us sent to a country"
"00:03:11,525","00:03:14,942
",none of these bumper-sticker patriots in Washington could find on a map
"00:03:15,025","00:03:16,442
",with a motherfuckin' map!
"00:03:18,234","00:03:19,859
",We're goin' to Chicago.
"00:03:19,942","00:03:23,400
","Anyone who stays in the park, sings Woody Guthrie, they'll be fine."
"00:03:24,484","00:03:27,817
","But the cops are gonna be a half-inch from losin' their fuckin' minds,"
"00:03:27,900","00:03:30,150
",'cause Daley's gonna wind 'em up to make sure of it.
"00:03:30,900","00:03:33,775
",We're goin' to Chicago peacefully. We're goin' peacefully.
"00:03:33,859","00:03:36,150
","But if we're met there with violence,"
"00:03:36,234","00:03:39,567
",you better believe that we're gonna meet that violence with...
"00:03:39,650","00:03:43,067
","Nonviolence. Always nonviolence, and that's without exception."
"00:03:43,150","00:03:46,525
",- What if the police hit you? - Why would the police hit me?
"00:03:46,609","00:03:47,817
",- What if they do? - I'll duck.
